"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
64,1,0,-0.250999987125397,0,1,47.5200004577637,0,34,47.8499984741211,28.0221500396729,47.8499984741211,1,0,2.91999435424805,2.91999478141467
65,1,0,-0.256000012159348,0,1,49.689998626709,0,34,19.7000007629395,10.4733400344849,19.7000007629395,2,29.5499992370605,29.5499992370605,29.5499992370605
66,1,0,-0.232999995350838,1,0,53.5400009155273,0,34,18.8999996185303,10.4587001800537,18.8999996185303,3,30.3500003814697,30.3500003814697,30.3500003814697
67,1,0,-0.0920000001788139,0,0,56.2200012207031,0,34,16.3571395874023,10.9022903442383,16.3571395874023,4,32.8928604125977,32.8928604125977,32.8928604125977
68,1,0,-0.150000005960464,0,1,57.5900001525879,0,34,10,6.28276920318604,10,5,39.9017715454102,39.9017715454102,39.9017696380615
69,1,0,-0.144999995827675,0,1,61.439998626709,0,34,18.2142791748047,13.9156303405762,18.2142791748047,6,31.6874923706055,31.6874923706055,31.6874904632568
70,1,0,-0.118000000715256,1,0,64.5899963378906,0,34,22.8571395874023,16.0525207519531,22.8571395874023,7,27.0446319580078,27.0446319580078,27.0446300506592
71,1,0,-0.122000001370907,0,0,66.8499984741211,0,34,28.6976699829102,22.2183208465576,28.6976699829102,8,21.2041015625,21.2041015625,21.2040996551514
72,1,0,-0.119999997317791,0,1,68.9000015258789,0,34,21.9285697937012,15.8434495925903,21.9285697937012,9,23.0937461853027,23.0937461853027,24.7202301025391
73,1,0,-0.0869999974966049,0,1,71.1500015258789,0,34,38.1666717529297,27.9012107849121,38.1666717529297,10,16.5721397399902,16.5721397399902,16.7342535654704
74,1,0,-0.0439999997615814,1,0,78.370002746582,0,34,30.5,21.1163806915283,30.5,11,31.2219009399414,31.2219009399414,26.811837877546
75,1,0,-0.0729999989271164,0,0,77.2900009155273,0,34,25,20.8805599212646,25,12,39.0663909912109,39.0663909912109,38.0267122442072
76,1,0,-0.104000002145767,0,1,77.1699981689453,0,34,31.5,25.339599609375,31.5,13,35.0460815429688,35.0460815429688,32.5244862238566
77,1,0,-0.175999999046326,0,1,81.7699966430664,0,34,28.25,27.8493099212646,28.25,14,38.2960815429688,38.2960815429688,35.7744862238566
78,1,0,-0.10700000077486,1,0,84.0500030517578,0,34,27.75,25.2213191986084,27.75,15,38.7960815429688,38.7960815429688,36.2744862238566
79,1,0,-0.0949999988079071,0,0,87.4000015258789,0,34,34.8333282470703,29.8356895446777,34.8333282470703,16,20.8607940673828,20.8607940673828,28.1800959660457
80,1,0,-0.0740000009536743,0,1,86.7799987792969,0,34,36.75,29.2209606170654,36.75,17,18.9441223144531,18.9441223144531,26.263424213116
81,1,0,-0.0839999988675117,0,1,86.5699996948242,0,34,36.2000007629395,26.8979606628418,36.2000007629395,18,19.4941215515137,19.4941215515137,26.8134234501765
82,1,0,0.0399999991059303,1,0,86.6699981689453,0,34,34.5,23.2766208648682,34.5,19,8.98543930053711,8.98543930053711,26.9648460660662
83,1,0,-0.108999997377396,0,0,86.5299987792969,0,34,52.1666717529297,35.0921401977539,52.1666717529297,20,8.34389495849609,8.34389495849609,17.6877738237381
84,1,0,-0.156000003218651,0,1,88.7300033569336,0,34,38.5,28.2149791717529,38.5,21,13.116626739502,13.116626739502,23.0948002759148
85,1,0,0.025000000372529,0,1,92.5,0,34,38.4166717529297,27.8771305084229,38.4166717529297,22,17.6870727539062,17.6870727539062,22.1736333029611
86,1,0,-0.0900000035762787,1,0,95.5100021362305,0,34,49.75,37.7912483215332,49.75,23,7.23054504394531,7.23054504394531,15.4918645511974
64,3,0,-0.236000001430511,1,0,63.9099998474121,0,14.5,40.875,41.8531913757324,40.875,1,0,9.89499282836914,9.89499325553576
65,3,0,-0.246999993920326,0,0,65.1999969482422,0,14.5,49.6197891235352,36.5036582946777,49.6197891235352,2,0.369789123535156,0.369789123535156,0.369789123535156
66,3,0,-0.221000000834465,1,0,66.4800033569336,0,14.5,46.5156288146973,33.8884315490723,46.5156288146973,3,2.73437118530273,2.73437118530273,2.73437118530273
67,3,0,-0.0719999969005585,0,0,69.2200012207031,0,14.5,10.9652795791626,34.2244911193848,10.9652795791626,4,38.2847213745117,38.2847213745117,38.2847204208374
68,3,0,-0.0949999988079071,1,0,72.1500015258789,0,14.5,8.80000019073486,25.9029502868652,8.80000019073486,5,41.1017723083496,41.1017723083496,41.1017694473267
69,3,0,0.0109999999403954,0,0,76.1999969482422,0,14.5,7.23333501815796,34.5019798278809,7.23333501815796,6,42.6684379577637,42.6684379577637,42.6684346199036
70,3,0,-0.0529999993741512,1,0,80.1100006103516,0,14.5,14.5166702270508,41.2858810424805,14.5166702270508,7,35.3851013183594,35.3851013183594,35.3850994110107
71,3,0,-0.0209999997168779,0,0,84.5500030517578,0,14.5,12.0208396911621,42.2223281860352,12.0208396911621,8,37.880931854248,37.880931854248,37.8809299468994
